date,tmin,tmax,tavg,prec,etp
2015-01-01,-4.9,4.5,-0.8,0,0.6
2015-01-02,-2,7.8,2.4,0,0.7
2015-01-03,-0.6,9.1,3.1,0,0.7
2015-01-04,-0.5,11.3,3.9,0,0.8
2015-01-05,-0.3,13.8,4.6,0,1
2015-01-06,-0.7,9.1,3.1,0,0.7
2015-01-07,-1.2,8.3,3.4,0,0.7
2015-01-08,1.2,9.7,4.6,0,0.7
2015-01-09,0.1,9.1,3.1,0,0.7
2015-01-10,0.1,8.9,3.3,0,0.7
2015-01-11,-0.4,7.1,3.4,0,0.6
2015-01-12,1.4,15.5,6.1,0,1.1
2015-01-13,-1.8,12.4,4,0,1
2015-01-14,0,12.1,4.8,0,0.9
2015-01-15,-0.9,11.1,3.7,0,0.9
2015-01-16,3.2,13.9,9,0,1
2015-01-17,7.5,14.5,11.9,1.7,0.9
2015-01-18,1.5,14.1,7,0,1.1
2015-01-19,0,10.1,3.8,0,0.9
2015-01-20,3.3,5.3,4.6,3.9,0.4
2015-01-21,4.6,7.2,5.8,2.2,0.5
2015-01-22,5.2,7.2,5.8,4.1,0.4
2015-01-23,5.5,8.8,6.9,0,0.6
2015-01-24,4.8,11.5,7.8,0,0.9
2015-01-25,3.8,10.2,6.1,0.1,0.8
2015-01-26,-0.8,9.5,4,0,0.9
2015-01-27,-1.4,7.7,1.7,0,0.8
2015-01-28,-3,9.3,2,0,1
2015-01-29,-1.2,8.1,3.3,0.2,0.9
2015-01-30,-0.7,6.4,2.6,2.8,0.8
2015-01-31,-2.1,9.6,3.5,0,1
2015-02-01,-0.6,8.7,3.6,0.6,0.9
2015-02-02,-1.6,10.1,2.5,0,1.1
2015-02-03,0.7,8.8,5,0.1,0.9
2015-02-04,3.9,6,5.1,19,0.5
2015-02-05,3.1,6.8,5.1,66.6,0.6
2015-02-06,0.8,5.7,3.4,67.6,0.7
2015-02-07,0.6,4.6,2.5,1.7,0.6
2015-02-08,-1.2,7.5,2.5,0,0.9
2015-02-09,-2.4,8.4,2.1,0,1.1
2015-02-10,-2.2,11.8,3.4,0,1.3
2015-02-11,-0.7,10.8,3.8,0,1.2
2015-02-12,0,9.1,4.3,0,1.1
2015-02-13,1.9,8.6,5.3,0,1
2015-02-14,4.4,11.6,6.8,0,1.1
2015-02-15,1.4,11.5,6.7,0,1.3
2015-02-16,6.1,10.7,8.3,12.2,1
2015-02-17,4.2,11.3,7.3,0.8,1.2
2015-02-18,0.4,9.9,4.4,0,1.2
2015-02-19,-0.9,11.5,4.1,0,1.4
2015-02-20,-1.2,11.9,4.4,0,1.5
2015-02-21,0.8,14,7.3,0,1.7
2015-02-22,6.1,8,7.1,10.4,0.6
2015-02-23,6.4,12.6,8.5,0,1.3
2015-02-24,5.1,9.5,7.1,22.8,1
2015-02-25,5.8,9.4,7.3,9.3,0.9
2015-02-26,5.9,10.7,7.9,0,1.1
2015-02-27,4,13.2,8,0,1.6
2015-02-28,3.2,12.7,7,0,1.6
2015-03-01,1.9,14.7,8.4,0,1.9
2015-03-02,6,13.6,10,0,1.5
2015-03-03,2.7,13.8,8.2,0,1.8
2015-03-04,5.5,11.9,8.4,26.2,1.4
2015-03-05,5.4,10.3,8.3,6.6,1.2
2015-03-06,3,11.3,7.4,0,1.5
2015-03-07,1.3,11.4,6,0,1.6
2015-03-08,1.3,11.3,5.7,0,1.7
