tempo,et_h_smr,vento_smr,vd_smr,vmax_smr,temp_min_smr,temp_media_smr,temp_max_smr,umin_smr,umax_smr,u_r_smr,prec_smr,rad_smr,watertable
36892.0,0.4,7.0,135.0,13.3,-7.9,-3.4,1.0,32.0,99.0,66.0,0.0,,
36893.0,0.5,6.6,180.0,15.5,-1.2,2.2,5.5,53.0,99.0,80.0,29.9,,
36894.0,0.7,4.0,225.0,7.2,-2.0,1.3,7.7,47.0,100.0,83.0,1.6,,
36895.0,0.5,2.6,225.0,7.1,-3.9,0.3,4.4,52.0,100.0,76.0,10.9,,
36896.0,0.5,4.0,315.0,9.2,-2.2,0.7,4.2,64.0,100.0,86.0,1.4,,
36897.0,0.8,5.1,180.0,13.8,1.6,5.9,10.9,63.0,100.0,87.0,7.4,,
36898.0,0.8,7.1,225.0,15.0,1.9,5.2,11.1,47.0,95.0,77.0,3.4,,
36899.0,0.7,4.8,225.0,9.3,-1.8,1.4,7.1,57.0,100.0,87.0,11.6,,
36900.0,0.5,2.2,180.0,7.1,-3.5,0.3,4.2,40.0,100.0,60.0,0.0,,
36901.0,0.4,7.5,225.0,15.8,-1.9,0.0,1.6,50.0,95.0,85.0,0.0,,
36902.0,0.5,5.4,225.0,7.3,-0.3,1.9,5.4,60.0,99.0,93.0,0.0,,
36903.0,0.5,3.9,225.0,5.4,0.8,2.2,5.9,61.0,100.0,94.0,8.9,,
36904.0,0.4,12.8,45.0,19.5,-6.1,-2.8,0.3,86.0,98.0,93.0,5.5,,
36905.0,0.2,13.2,45.0,19.5,-12.1,-8.9,-6.8,76.0,100.0,90.0,0.0,,
36906.0,0.2,7.8,45.0,16.6,-9.3,-7.9,-6.5,60.0,100.0,79.0,0.0,,
36907.0,0.3,3.6,225.0,6.3,-8.6,-6.3,-3.8,50.0,92.0,75.0,0.0,,
36908.0,0.3,8.6,180.0,14.5,-8.6,-4.3,-2.7,67.0,100.0,90.0,12.2,,
36909.0,0.4,1.6,225.0,3.4,-8.6,-4.3,-2.3,76.0,100.0,87.0,0.1,,
36910.0,0.2,5.3,180.0,7.9,-4.8,-3.5,-2.7,83.0,100.0,93.0,0.4,,
36911.0,0.3,4.1,90.0,7.2,-3.0,-2.2,-1.2,77.0,98.0,92.0,0.0,,
36912.0,0.4,2.5,45.0,4.2,-3.0,-1.5,0.6,81.0,99.0,89.0,0.0,,
36913.0,0.6,4.7,225.0,7.6,-2.7,-1.2,4.6,53.0,95.0,82.0,0.6,,
36914.0,0.6,6.9,225.0,12.6,-1.3,0.3,4.2,62.0,95.0,89.0,5.9,,
36915.0,0.5,7.2,225.0,11.8,2.0,3.4,4.9,59.0,100.0,87.0,16.7,,
36916.0,0.8,6.8,225.0,14.1,2.2,4.8,8.7,53.0,100.0,86.0,43.4,,
36917.0,0.8,7.8,225.0,11.2,-1.6,0.7,6.8,56.0,92.0,85.0,0.0,,
36918.0,0.6,7.0,225.0,13.8,-1.1,0.6,4.8,57.0,99.0,85.0,0.7,,
36919.0,0.4,4.7,225.0,8.1,-1.7,-0.7,1.1,91.0,97.0,95.0,0.0,,
36920.0,0.3,9.5,360.0,15.2,-3.5,-2.0,-1.1,89.0,100.0,95.0,14.8,,
36921.0,0.4,7.9,360.0,12.0,-5.7,-3.3,-1.2,82.0,100.0,95.0,9.8,,
36922.0,0.3,10.8,45.0,14.8,-5.9,-3.8,-2.6,80.0,94.0,89.0,0.0,,
36923.0,0.3,13.0,45.0,22.0,-7.2,-5.9,-3.6,71.0,100.0,82.0,0.0,,
36924.0,0.3,5.8,315.0,13.5,-11.1,-7.0,-4.9,45.0,92.0,69.0,0.0,,
36925.0,0.5,6.0,225.0,19.3,-5.3,-2.1,0.2,71.0,100.0,86.0,6.8,6.8,
36926.0,0.6,5.7,225.0,9.7,-1.4,1.0,3.5,80.0,100.0,90.0,0.0,,
36927.0,0.5,6.5,225.0,11.2,0.2,1.5,3.1,80.0,100.0,90.0,0.0,,
36928.0,0.5,6.2,225.0,14.5,0.0,1.9,3.3,84.0,99.0,91.0,0.0,,
36929.0,0.5,4.7,225.0,7.2,1.2,2.7,3.9,74.0,94.0,89.0,0.0,,
